X,Y,SITENUMBER,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,COMPLIANCE_MONITORING,FLOOD_CONTROL,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,OBJECTID
1629025.0476,5357788.1603,139301,CASTLE CREEK HDWATERS,CASTLE CREEK HDWATERS,CASTLE CREEK HDWATERS AT CASTLE CREEK HDWATERS,,N,,N,,,,,,,,,,,,1219,2539029,5919469,O30:39029-19469,1629025,5357788,BS26:2902-5778,3415714
1637281.4941,5352198.8038,139401,MIDDLEHURST,MIDDLEHURST,MIDDLEHURST AT MIDDLEHURST,,N,,N,,,,,,,,,,,,792,2547289,5913879,O30:47289-13879,1637281,5352198,BS27:3728-5219,3415715
1634557.4013,5352216.1785,139402,"U AWATERE,LANGRIDGE","U AWATERE,LANGRIDGE","U AWATERE,LANGRIDGE AT U AWATERE,LANGRIDGE",,N,,N,,,,,,,,,,,,,2544564,5913896,O30:44564-13896,1634557,5352216,BS26:3455-5221,3415716
1659441.034,5355715.4507,139701,COVERHAM,COVERHAM,COVERHAM AT COVERHAM,,N,,N,,,,,,,,,,,,457,2569455,5917400,O30:69455-17400,1659441,5355715,BS27:5944-5571,3415717
1676071.1836,5361100.1879,139901,WAIMA URE RIVER HUT,WAIMA URE RIVER HUT,WAIMA URE RIVER HUT AT WAIMA URE RIVER HUT,,N,,N,,,,,,,,,,,,488,2586089,5922789,P29:86089-22789,1676071,5361100,BS28:7607-6110,3415718
1678688.4242,5350412.8871,139902,KEKERENGU STATION,KEKERENGU STATION,KEKERENGU STATION AT KEKERENGU STATION,,N,,N,,,,,,,,,,,,242,2588709,5912099,P30:88709-12099,1678688,5350412,BS28:7868-5041,3415719
1404328.3292,5206080.9565,189611,POERUA,POERUA FORKS,POERUA AT POERUA FORKS,,N,,N,,,,,,,,,,,,780,2314299,5767699,I35:14299-67699,1404328,5206080,BW17:0432-0608,3416375
1402828.2721,5206381.0931,189612,POERUA,UPPER POERUA,POERUA AT UPPER POERUA,,N,,N,,,,,,,,,,,,1300,2312799,5767999,I35:12799-67999,1402828,5206381,BW17:0282-0638,3416376
1434430.3439,5228477.8672,190607,CROPP,GORGE TELEMETRY,CROPP AT GORGE TELEMETRY,,N,,N,,,,,,,,,,,,880,2344399,5790099,J34:44399-90099,1434430,5228477,BV18:3443-2847,3416377
1432144.1336,5268762.813,207901,HOKITIKA SOUTH,HOKITIKA SOUTH,HOKITIKA SOUTH AT HOKITIKA SOUTH,,N,,N,,,,,,,,,,,,4,2342106,5830387,J32:42106-30387,1432144,5268762,BU18:3214-6876,3416378
1434979.7205,5263274.9044,207902,RIMU,RIMU,RIMU AT RIMU,,N,,N,,,,,,,,,,,,67,2344943,5824899,J33:44943-24899,1434979,5263274,BU18:3497-6327,3416379
1433980.4923,5250361.4456,208901,CAMELBACK,CAMELBACK,CAMELBACK AT CAMELBACK,,N,,N,,,,,,,,,,,,61,2343946,5811984,J33:43946-11984,1433980,5250361,BV18:3398-5036,3416380
1434593.6997,5251926.1941,208902,KOWHITIRANGI FAIRHAVE,KOWHITIRANGI FAIRHAVE,KOWHITIRANGI FAIRHAVE AT KOWHITIRANGI FAIRHAVE,,N,,N,,,,,,,,,,,,30,2344559,5813549,J33:44559-13549,1434593,5251926,BV18:3459-5192,3416381
1420384.1085,5248128.9817,209801,ROSS,ROSS,ROSS AT ROSS,,N,,N,,,,,,,,,,,,15,2330349,5809749,J33:30349-09749,1420384,5248128,BV18:2038-4812,3416382
